have_first_name,have_middlename,have_lastname,have_cellphone,have_workphone,have_otherphone,primary_contact,have_email,have_secondary_email,have_address_line1,have_address_line2,city,state,zipcode,Profession,Speciality,experience,available_date,Student,Terms_and_conditions_accepted,Approved,Visible,Referral_Source,application_source,LE_Record_Type,created_date,modified_date,Counts
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Auburn,Georgia,30011,NP,Pediatric,,,No,No,No,Yes,Career Builder,DATA_ENTRY,NEW_GRAD,7/12/16 4:54,7/12/16 4:54,
Yes,No,Yes,Yes,No,No,,Yes,No,Yes,No,Unicoi,Tennessee,37692,RN,OR,6,8/1/16,No,Yes,Yes,Yes,Email,STAFFDNA,,7/12/16 19:22,7/12/16 19:22,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Winchester,California,92596,NP,Hospice,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/12/16 6:46,7/12/16 6:46,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Pinellas Park,Florida,33781,CNA,Acute,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,NEW_GRAD,7/12/16 8:20,7/12/16 8:20,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Bastrop,Louisiana,71220,RN,PSYCH,,,No,No,No,Yes,Career Builder,DATA_ENTRY,NEW_GRAD,7/12/16 4:11,7/12/16 4:11,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Savannah,Georgia,31419,RN,ER,3,9/21/11,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/19/15 13:08,7/12/16 4:55,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Winston-Salem,North Carolina,27103,RN,ICU,0,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/19/15 13:03,7/12/16 3:59,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Bronx,New York,10469,RN,PEDS,5,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 13:57,7/12/16 7:23,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Morganfield,Kentucky,42437,CNA,Home Health,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,NEW_GRAD,7/12/16 11:21,7/12/16 11:21,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Santa Barbara,California,93101,RN,ICU,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/12/16 6:04,7/12/16 6:04,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Brownsburg,Indiana,46112,RN,MS,0,8/30/11,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 13:55,7/12/16 5:37,
Yes,Yes,Yes,No,No,No,H,Yes,Yes,Yes,Yes,Lexington,Kentucky,40504,CNA,ICU,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/12/16 9:42,7/12/16 9:42,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Branchburg,New Jersey,8876,RN,MS,,,No,No,No,Yes,Career Builder,DATA_ENTRY,NEW_GRAD,7/12/16 5:17,7/12/16 5:17,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Wichita,Kansas,67211,RN,PSYCH,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/12/16 6:57,7/12/16 6:57,
Yes,Yes,Yes,Yes,Yes,No,C,Yes,Yes,Yes,Yes,Jacksonville,Florida,32210,CNA,TELE,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/12/16 8:29,7/12/16 8:29,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Hoffman Estates,Illinois,60192,RN,Home Health,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/12/16 4:30,7/12/16 4:30,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Louisville,Kentucky,40214,CNA,ER,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/12/16 12:16,7/12/16 12:16,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Brandon,Mississippi,39047,NP,Family,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/12/16 6:21,7/12/16 6:21,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,arverne,New York,11692,RN,Rehab,,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/19/15 10:51,7/12/16 6:33,
Yes,No,Yes,Yes,No,No,,Yes,No,Yes,No,Oxford ,Mississippi,38655,RN,Director - LTC,20,8/16/16,No,Yes,No,Yes,Jobs2Careers,STAFFDNA,,7/12/16 1:58,7/12/16 1:58,1
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Mortons Gap,Kentucky,42440,CNA,Mother/Baby,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,NEW_GRAD,7/12/16 10:20,7/12/16 10:20,1
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Ellenboro,North Carolina,28040,RN,MS,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/12/16 5:40,7/12/16 5:40,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,New River,Arizona,85087,RN,ICU,,,No,No,No,Yes,Career Builder,DATA_ENTRY,NEW_GRAD,7/12/16 7:15,7/12/16 7:15,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,FRANKLIN PARK,Illinois,60131,CNA,TELE,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/12/16 8:40,7/12/16 8:40,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Wynnewood,Pennsylvania,19096,RN,MS,,,No,No,No,Yes,Career Builder,DATA_ENTRY,NEW_GRAD,7/12/16 4:51,7/12/16 4:51,
Yes,No,Yes,Yes,No,No,,Yes,No,Yes,No,New Castle,Pennsylvania,16105,RN,Case Manager - Home Health/Hospice,15,8/2/16,No,Yes,Yes,Yes,Jobs2Careers,STAFFDNA,,7/12/16 17:11,7/12/16 17:11,4
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Ojai,California,93023,RN,PEDS,,,No,No,No,Yes,Career Builder,DATA_ENTRY,NEW_GRAD,7/12/16 6:39,7/12/16 6:39,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Lake Worth,Florida,33463,CNA,Home Health,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/12/16 8:18,7/12/16 8:18,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Chippewa Falls,Wisconsin,54729,RN,Case Manager,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/12/16 4:10,7/12/16 4:10,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,JACKSONVILLE,Florida,32277,RN,Rehab,0,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 14:29,7/12/16 6:13,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Pearl River,Louisiana,70452,CNA,ICU,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/12/16 11:18,7/12/16 11:18,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,North Lauderdale,Florida,33068,RN,MS,,,No,No,No,Yes,Career Builder,DATA_ENTRY,NEW_GRAD,7/12/16 6:02,7/12/16 6:02,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Coral Springs,Florida,33071,RN,TELE,0,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 14:03,7/12/16 6:06,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Baton Rouge,Louisiana,70806,CNA,PEDS,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/12/16 9:41,7/12/16 9:41,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Palm Coast,Florida,32164,RN,MS,,,No,No,No,Yes,Career Builder,DATA_ENTRY,NEW_GRAD,7/12/16 5:08,7/12/16 5:08,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Appleton,Wisconsin,54915,RN,NICU,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/12/16 6:56,7/12/16 6:56,20
Yes,Yes,Yes,No,No,No,H,Yes,Yes,Yes,Yes,Spartanburg,South Carolina,29301,CNA,TELE,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/12/16 8:27,7/12/16 8:27,
Yes,Yes,Yes,No,No,No,,Yes,Yes,Yes,Yes,Riverview,Florida,33579,RN,ICU,,,No,No,No,Yes,Career Builder,DATA_ENTRY,EMAIL_ONLY,7/12/16 4:27,7/12/16 4:27,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,North Dighton,Massachusetts,2764,RN,Director,25,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 13:57,7/12/16 5:30,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Haysville,Kansas,67060,CNA,Home Health,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/12/16 12:14,7/12/16 12:14,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Houston,Texas,77016,CNA,Rehab,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/12/16 6:19,7/12/16 6:19,
Yes,No,Yes,Yes,No,No,,Yes,No,Yes,No,West Milton,Ohio,45383,RN,Director,30,7/30/16,No,Yes,No,Yes,Jobs2Careers,STAFFDNA,,7/12/16 0:23,7/12/16 0:23,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Baker,Louisiana,70714,CNA,ER,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/12/16 10:17,7/12/16 10:17,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Anthem,Arizona,85086,NP,Pediatric,,,No,No,No,Yes,Career Builder,DATA_ENTRY,NEW_GRAD,7/12/16 5:36,7/12/16 5:36,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Gold Canyon,Arizona,85118,RN,Case Manager,,,No,No,No,Yes,Career Builder,DATA_ENTRY,NEW_GRAD,7/12/16 7:12,7/12/16 7:12,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Dallas,Texas,75215,CNA,Acute,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/12/16 8:38,7/12/16 8:38,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Temple Hills,Maryland,20748,RN,ICU,,,No,No,No,Yes,Career Builder,DATA_ENTRY,NEW_GRAD,7/12/16 4:46,7/12/16 4:46,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Green Bay,Wisconsin,54311,RN,Hospice,2,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 14:31,7/12/16 6:00,
Yes,No,Yes,Yes,No,No,,Yes,No,Yes,No,Oil City,Pennsylvania,16301,RN,Hospice,25,8/1/16,No,Yes,Yes,Yes,Jobs2Careers,STAFFDNA,,7/12/16 16:14,7/12/16 16:14,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Ann Arbor,Michigan,48108,NP,Critical Care,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/12/16 6:35,7/12/16 6:35,8
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,San Antonio,Texas,78232,RN,PEDS,,,No,No,No,Yes,Career Builder,DATA_ENTRY,NEW_GRAD,7/12/16 7:25,7/12/16 7:25,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Dallas,North Carolina,28034,RN,MS,,,No,No,No,Yes,Career Builder,DATA_ENTRY,NEW_GRAD,7/12/16 4:07,7/12/16 4:07,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,New Orleans,Louisiana,70122,CNA,ICU,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/12/16 11:17,7/12/16 11:17,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Riverview,Florida,33578,RN,ER,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/12/16 5:57,7/12/16 5:57,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Georgetown,Kentucky,40324,CNA,Rehab,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/12/16 9:38,7/12/16 9:38,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,CHICAGO,Illinois,60636,RN,MS,,,No,No,No,Yes,Career Builder,DATA_ENTRY,NEW_GRAD,7/12/16 5:02,7/12/16 5:02,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Providence,Rhode Island,2908,CNA,Home Health,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/12/16 6:55,7/12/16 6:55,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Duluth,Georgia,30096,CNA,Home Health,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,NEW_GRAD,7/12/16 8:26,7/12/16 8:26,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Aurora,Illinois,60504,RN,PSYCH,,,No,No,No,Yes,Career Builder,DATA_ENTRY,NEW_GRAD,7/12/16 4:23,7/12/16 4:23,
Yes,Yes,Yes,Yes,Yes,No,C,Yes,Yes,Yes,Yes,Lucedale,Mississippi,39452,RN,Case Manager,5,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 14:30,7/12/16 4:33,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Elizabethtown,Kentucky,42701,CNA,Acute,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,NEW_GRAD,7/12/16 12:05,7/12/16 12:05,
Yes,Yes,Yes,Yes,Yes,No,C,Yes,Yes,Yes,Yes,Springfield,Massachusetts,1108,CNA,TELE,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/12/16 6:18,7/12/16 6:18,
Yes,No,Yes,Yes,No,No,,Yes,No,Yes,No,Bedford,Texas,76021,PT,Rehab,12,8/1/16,No,Yes,Yes,Yes,Jobs2Careers,STAFFDNA,,7/11/16 22:44,7/11/16 22:44,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,COATESVILLE,Indiana,46121,RN,MS,,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/19/15 13:14,7/11/16 3:59,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Tampa,Florida,33610,PHARM Tech,Other,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,NEW_GRAD,7/11/16 20:24,7/11/16 20:24,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Liberty,Indiana,47353,RN,MS,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/11/16 4:44,7/11/16 4:44,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Noblesville,Indiana,46060,RN,Home Health,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/11/16 11:38,7/11/16 11:38,
Yes,Yes,Yes,Yes,Yes,No,C,Yes,Yes,Yes,Yes,Lowell,Indiana,46356,RN,TELE,8,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 14:41,7/11/16 4:37,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Warren,Michigan,48089,RN,PACU,,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/19/15 13:15,7/11/16 13:11,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Quincy,Michigan,49082,RN,PEDS,17,10/18/11,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/19/15 13:09,7/11/16 13:28,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Cedar Lake,Indiana,46303,RN,IV Ther,,,No,No,No,Yes,Career Builder,DATA_ENTRY,NEW_GRAD,7/11/16 5:36,7/11/16 5:36,6
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Linden,Virginia,22642,PT Assistant,Rehab,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/11/16 13:22,7/11/16 13:22,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Spencer,Indiana,47460,RN,Home Health,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/11/16 4:01,7/11/16 4:01,
Yes,No,Yes,Yes,No,No,,Yes,No,Yes,No,Barranquitas,Other,794,RN,Geriatrics,1,8/5/16,No,Yes,No,Yes,Jobs2Careers,STAFFDNA,,7/11/16 22:26,7/11/16 22:26,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,New Palestine,Indiana,46163,RN,OR,0,1/1/00,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/19/15 13:03,7/11/16 12:28,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Fair Oaks,California,95628,RN,Case Manager,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/11/16 5:04,7/11/16 5:04,
Yes,Yes,Yes,Yes,Yes,No,H,Yes,Yes,Yes,Yes,Fort Wayne,Indiana,46806,RN,MS,1,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 13:57,7/11/16 4:36,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,West Palm Beach,Florida,33409,COTA,PEDS,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,NEW_GRAD,7/11/16 12:40,7/11/16 12:40,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Charlestown,Indiana,47111,RN,ONCOLOGY,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/11/16 4:19,7/11/16 4:19,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Vancleave,Mississippi,39565,RN,Hospice,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/11/16 5:50,7/11/16 5:50,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Merrillville,Indiana,46410,RN,TELE,16,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 13:57,7/11/16 4:04,
Yes,No,Yes,Yes,No,No,,Yes,No,Yes,No,Knightdale,North Carolina,27545,RN,OR,32,8/8/16,No,Yes,Yes,Yes,Jobs2Careers,STAFFDNA,,7/11/16 14:27,7/11/16 14:27,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Lebanon,Ohio,45036,RN,Hospice,,,No,No,No,Yes,Career Builder,DATA_ENTRY,NEW_GRAD,7/11/16 5:13,7/11/16 5:13,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Indianapolis,Indiana,46227,RN,ER,7,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 14:30,7/11/16 4:49,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Howell,Michigan,48855,RN,ER,10,7/31/11,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/19/15 13:04,7/11/16 13:06,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Toledo,Ohio,43604,COTA,Acute Care,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,NEW_GRAD,7/11/16 12:55,7/11/16 12:55,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Mission Viejo,California,92691,PHARM Tech,Other,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/11/16 20:21,7/11/16 20:21,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Martinsville,Indiana,46151,RN,Case Manager,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/11/16 4:41,7/11/16 4:41,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Franklin,Indiana,46131,RN,MS,7,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 14:03,7/11/16 11:30,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Miami,Florida,33183,PT Assistant,PEDS,0,,No,No,No,Yes,Health Jobs,LABOR_EDGE,PROSPECT,9/18/15 14:00,7/11/16 12:46,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Lafayette,Indiana,47904,RN,Home Health,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/11/16 11:37,7/11/16 11:37,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Novi,Michigan,48374,RN,TELE,0,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 14:41,7/11/16 13:06,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Miami,Florida,33150,NP,Pediatric,,,No,No,No,Yes,Career Builder,DATA_ENTRY,NEW_GRAD,7/11/16 5:32,7/11/16 5:32,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Rochester,Michigan,48309,RN,PSYCH,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/11/16 13:22,7/11/16 13:22,
Yes,Yes,Yes,Yes,Yes,No,C,Yes,Yes,Yes,Yes,North Vernon,Indiana,47265,RN,Case Manager,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/11/16 3:58,7/11/16 3:58,
Yes,No,Yes,Yes,No,No,,Yes,No,Yes,No,Saint Clair,Minnesota,56080,RN,OR,18,10/17/16,No,Yes,Yes,Yes,Jobs2Careers,STAFFDNA,,7/11/16 20:48,7/11/16 20:48,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Anderson,Indiana,46013,RN,Home Health,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/11/16 4:58,7/11/16 4:58,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Rome City,Indiana,46784,RN,MS,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/11/16 12:39,7/11/16 12:39,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Greenwood,Indiana,46143,RN,MS,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/11/16 4:14,7/11/16 4:14,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Auburn,Indiana,0,RN,Manager,,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 14:56,7/11/16 11:13,
Yes,Yes,Yes,Yes,Yes,No,H,Yes,Yes,Yes,Yes,Detroit,Michigan,48223,RN,MS,6,8/27/11,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 13:55,7/11/16 13:26,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Clinton Township,Michigan,48035,RN,Manager,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/11/16 5:48,7/11/16 5:48,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Columbus,Michigan,48063,RN,MS,5,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 14:27,7/11/16 13:29,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Pinconning,Michigan,48650,RN,Rehab,,,No,No,No,Yes,Career Builder,DATA_ENTRY,NEW_GRAD,7/11/16 13:41,7/11/16 13:41,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Willmite,Illinois,60091,RN,Home Health,,,No,No,No,Yes,Career Builder,DATA_ENTRY,NEW_GRAD,7/11/16 5:12,7/11/16 5:12,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Bronx,New York,10459,RN,Manager,7,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 14:00,7/11/16 5:34,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Greenfield,Indiana,46140,RN,MS,,,No,No,No,Yes,Career Builder,DATA_ENTRY,NEW_GRAD,7/11/16 12:52,7/11/16 12:52,
Yes,No,Yes,Yes,No,No,,Yes,No,Yes,No,West Helena,Arkansas,72390,RN,ICU,10,8/1/16,No,Yes,Yes,Yes,Jobs2Careers,STAFFDNA,,9/19/15 10:49,7/11/16 19:38,
Yes,No,Yes,Yes,No,No,,Yes,No,Yes,No,SHREVEPORT,Louisiana,71107,CRNA,Other,1,,No,Yes,No,Yes,Jobs2Careers,STAFFDNA,,7/11/16 19:39,7/11/16 19:39,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Noblesville,Indiana,46062,RN,Manager,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/11/16 4:40,7/11/16 4:40,
Yes,Yes,Yes,Yes,Yes,No,C,Yes,Yes,Yes,Yes,Indianapolis,Indiana,46268,RN,Case Manager,10,9/1/13,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 14:36,7/11/16 3:54,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,New Whiteland,Indiana,46184,RN,Case Manager,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/11/16 11:32,7/11/16 11:32,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Saint Clair Shores,Michigan,48081,RN,OR,30,10/18/11,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 13:44,7/11/16 13:39,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Dearborn Heights,Michigan,48125,RN,TELE,,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/19/15 13:15,7/11/16 13:07,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Pine Bluff,Arkansas,71603,RN,Hospice,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/11/16 5:30,7/11/16 5:30,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Kalkaska,Michigan,49646,NP,PACU,,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/19/15 13:16,7/11/16 13:08,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Harper Woods,Michigan,48225,RN,Rehab,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/11/16 13:21,7/11/16 13:21,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,,Indiana,46360,RN,DIALYSIS,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/11/16 3:56,7/11/16 3:56,
